"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
555	83.957794	30.185780	11.783947	0.028376	-0.850432	-0.525318	-0.999202	-0.009357	-0.038826	0.028104	0.526001	-0.850019
556	83.971631	29.756063	11.528794	0.026554	-0.868857	-0.494350	-0.999469	-0.013740	-0.029538	0.018872	0.494872	-0.868761
557	83.984333	29.317889	11.288358	0.023728	-0.884943	-0.465095	-0.999664	-0.016152	-0.020269	0.010425	0.465420	-0.885029
558	83.995169	28.871472	11.063482	0.019825	-0.898818	-0.437874	-0.999798	-0.016416	-0.011568	0.003209	0.438015	-0.898962
559	84.003933	28.418878	10.851231	0.015308	-0.910846	-0.412463	-0.999879	-0.015042	-0.003892	-0.002659	0.412473	-0.910966
560	84.010555	27.960917	10.650727	0.011038	-0.921189	-0.388959	-0.999914	-0.012915	0.002210	-0.007060	0.388901	-0.921252
561	84.015198	27.498258	10.461231	0.007279	-0.929990	-0.367514	-0.999922	-0.010504	0.006774	-0.010160	0.367436	-0.929994
562	84.017916	27.031163	10.282893	0.004066	-0.937314	-0.348463	-0.999920	-0.007985	0.009812	-0.011979	0.348395	-0.937271
563	84.019207	26.560863	10.113178	0.001295	-0.943457	-0.331492	-0.999917	-0.005473	0.011670	-0.012824	0.331449	-0.943386
564	84.019277	26.087866	9.951116	-0.001018	-0.948573	-0.316558	-0.999916	-0.003114	0.012548	-0.012888	0.316544	-0.948490
565	84.018308	25.612582	9.795881	-0.002909	-0.952781	-0.303644	-0.999921	-0.000953	0.012571	-0.012266	0.303656	-0.952703
566	84.016437	25.135219	9.647161	-0.004319	-0.956145	-0.292863	-0.999930	0.000910	0.011777	-0.010994	0.292893	-0.956082
567	84.013984	24.656409	9.503176	-0.005355	-0.958869	-0.283798	-0.999942	0.002480	0.010488	-0.009353	0.283837	-0.958827
568	84.011122	24.176423	9.363163	-0.006021	-0.961058	-0.276282	-0.999954	0.003727	0.008827	-0.007453	0.276322	-0.961036
569	84.008030	23.695494	9.226430	-0.006285	-0.962661	-0.270637	-0.999966	0.004589	0.006900	-0.005401	0.270671	-0.962657
570	84.004902	23.213901	9.092049	-0.006153	-0.963441	-0.267849	-0.999976	0.005044	0.004827	-0.003300	0.267872	-0.963449
571	84.001929	22.732102	8.958403	-0.005671	-0.963586	-0.267339	-0.999983	0.005109	0.002797	-0.001329	0.267351	-0.963598
572	83.999262	22.250368	8.824517	-0.004923	-0.963192	-0.268768	-0.999988	0.004861	0.000897	0.000442	0.268769	-0.963204
573	83.996988	21.768943	8.689520	-0.004111	-0.962320	-0.271890	-0.999990	0.004486	-0.000757	0.001948	0.271884	-0.962328
574	83.995159	21.288132	8.552348	-0.003321	-0.960971	-0.276628	-0.999989	0.004076	-0.002152	0.003196	0.276618	-0.960975
575	83.993687	20.808069	8.412576	-0.002598	-0.959231	-0.282610	-0.999988	0.003668	-0.003258	0.004162	0.282598	-0.959229
576	83.992547	20.328933	8.269658	-0.001925	-0.957109	-0.289723	-0.999986	0.003271	-0.004163	0.004932	0.289711	-0.957101
577	83.991725	19.850925	8.123011	-0.001317	-0.954600	-0.297888	-0.999984	0.002883	-0.004818	0.005458	0.297877	-0.954589
578	83.991238	19.374419	7.971553	-0.000723	-0.951656	-0.307166	-0.999983	0.002471	-0.005301	0.005804	0.307157	-0.951641
579	83.991006	18.899432	7.815406	-0.000210	-0.948297	-0.317384	-0.999982	0.002089	-0.005578	0.005953	0.317377	-0.948281
580	83.991026	18.426159	7.654136	0.000290	-0.944498	-0.328516	-0.999982	0.001677	-0.005705	0.005939	0.328512	-0.944481
581	83.991267	17.954856	7.487197	0.000724	-0.940213	-0.340586	-0.999983	0.001292	-0.005691	0.005791	0.340585	-0.940196
582	83.991747	17.486071	7.313316	0.001109	-0.935339	-0.353751	-0.999985	0.000892	-0.005492	0.005452	0.353752	-0.935323
583	83.992399	17.019776	7.132873	0.001485	-0.929865	-0.367897	-0.999986	0.000468	-0.005218	0.005024	0.367900	-0.929852
584	83.993217	16.556265	6.945397	0.001786	-0.923711	-0.383087	-0.999988	0.000075	-0.004841	0.004500	0.383091	-0.923700
585	83.994173	16.095941	6.750225	0.002059	-0.916765	-0.399421	-0.999990	-0.000345	-0.004363	0.003862	0.399426	-0.916757
586	83.995263	15.639707	6.545681	0.002290	-0.908825	-0.417172	-0.999993	-0.000788	-0.003772	0.003100	0.417178	-0.908820
587	83.996454	15.187552	6.332287	0.002472	-0.899804	-0.436287	-0.999994	-0.001215	-0.003160	0.002314	0.436292	-0.899802
588	83.997726	14.740015	6.109376	0.002616	-0.889536	-0.456858	-0.999996	-0.001659	-0.002496	0.001462	0.456862	-0.889536
589	83.999063	14.297799	5.876080	0.002741	-0.878133	-0.478408	-0.999996	-0.002126	-0.001828	0.000589	0.478411	-0.878136
590	84.000455	13.862053	5.630914	0.002823	-0.866120	-0.499827	-0.999996	-0.002614	-0.001118	-0.000338	0.499829	-0.866124
591	84.001888	13.432205	5.375561	0.002886	-0.853605	-0.520914	-0.999995	-0.003134	-0.000405	-0.001287	0.520912	-0.853609
592	84.003338	13.008489	5.110156	0.002917	-0.840552	-0.541722	-0.999993	-0.003681	0.000326	-0.002268	0.541718	-0.840557
593	84.004795	12.591283	4.834621	0.002903	-0.826933	-0.562293	-0.999991	-0.004203	0.001019	-0.003206	0.562285	-0.826937
594	84.006240	12.181746	4.547810	0.002861	-0.812690	-0.582690	-0.999987	-0.004757	0.001726	-0.004174	0.582678	-0.812693
595	84.007655	11.779213	4.251263	0.002796	-0.797805	-0.602910	-0.999983	-0.005306	0.002384	-0.005101	0.602893	-0.797806
596	84.009029	11.383981	3.945051	0.002704	-0.782253	-0.622955	-0.999978	-0.005849	0.003004	-0.005993	0.622934	-0.782252
597	84.010352	10.996514	3.629061	0.002565	-0.766007	-0.642827	-0.999973	-0.006376	0.003608	-0.006863	0.642800	-0.766003
598	84.011596	10.618190	3.302181	0.002422	-0.749045	-0.662515	-0.999968	-0.006866	0.004108	-0.007626	0.662484	-0.749038
599	84.012760	10.248188	2.965922	0.002235	-0.731411	-0.681933	-0.999963	-0.007339	0.004595	-0.008366	0.681897	-0.731400
600	84.013832	9.886801	2.620420	0.002034	-0.713162	-0.700996	-0.999957	-0.007764	0.004997	-0.009006	0.700956	-0.713148
